mass_A
t;x;y;v_{x};v_{y};v
0.000000000E0;2.098691737E-3;3.918096036E-1;;;
3.333333333E-2;2.040625099E-3;3.919153224E-1;1.823586873E-2;5.709101577E-3;1.910865640E-2
6.666666667E-2;3.314416319E-3;3.921902103E-1;9.345879343E-2;-1.897781858E-2;9.536615578E-2
1.000000000E-1;8.271211327E-3;3.906501345E-1;2.166561680E-1;-1.098364993E-1;2.429072904E-1
1.333333333E-1;1.775816085E-2;3.848677770E-1;2.924414210E-1;-1.642255184E-1;3.353982791E-1
1.666666667E-1;2.776730606E-2;3.797017666E-1;3.503402739E-1;-1.502791192E-1;3.812113865E-1
2.000000000E-1;4.111417911E-2;3.748491691E-1;4.515923119E-1;-1.847636690E-1;4.879274839E-1
2.333333333E-1;5.787346019E-2;3.673841887E-1;5.504827949E-1;-2.468579326E-1;6.032993837E-1
2.666666667E-1;7.781303210E-2;3.583919736E-1;6.332698784E-1;-2.850204045E-1;6.944547284E-1
3.000000000E-1;1.000914521E-1;3.483828284E-1;7.022545428E-1;-3.293331649E-1;7.756428150E-1
3.333333333E-1;1.246300016E-1;3.364364293E-1;7.797446993E-1;-3.971370518E-1;8.750540749E-1
3.666666667E-1;1.520744320E-1;3.219070249E-1;8.669211253E-1;-4.504115344E-1;9.769456422E-1
4.000000000E-1;1.824247433E-1;3.064089936E-1;9.436214615E-1;-4.922976298E-1;1.064320637E0
4.333333333E-1;2.149825295E-1;2.890871829E-1;1.012041568E0;-6.227208120E-1;1.188279995E0
4.666666667E-1;2.498941812E-1;2.648942728E-1;1.082963054E0;-7.822260004E-1;1.335921589E0
5.000000000E-1;2.871800664E-1;2.369387829E-1;1.161051374E0;-8.805155925E-1;1.457171233E0
5.333333333E-1;3.272976062E-1;2.061932333E-1;1.266747134E0;-9.630046373E-1;1.591234185E0
5.666666667E-1;3.716298753E-1;1.727384738E-1;1.420513063E0;-9.909780063E-1;1.732020430E0
6.000000000E-1;4.219984770E-1;1.401280329E-1;1.592593443E0;-9.123287644E-1;1.835401223E0
6.333333333E-1;4.778027715E-1;1.119165561E-1;1.762729415E0;-7.721709136E-1;1.924438337E0
6.666666667E-1;5.395137714E-1;8.864997201E-2;1.916663500E0;-5.266968574E-1;1.987714404E0
7.000000000E-1;6.055803382E-1;7.680343230E-2;2.010511941E0;-3.206699062E-1;2.035924226E0
7.333333333E-1;6.735479008E-1;6.727197826E-2;2.045563872E0;-1.731924923E-1;2.052882654E0
7.666666667E-1;7.419512630E-1;6.525726614E-2;2.047496751E0;-9.256265057E-3;2.047517674E0
8.000000000E-1;8.100476842E-1;6.665489392E-2;2.033052493E0;1.118143752E-1;2.036124970E0
8.333333333E-1;8.774880958E-1;7.271155783E-2;1.982246440E0;2.939223250E-1;2.003918981E0
8.666666667E-1;9.421974469E-1;8.624971559E-2;1.885298318E0;5.124042442E-1;1.953690830E0
9.000000000E-1;1.003174650E0;1.068718408E-1;1.747677235E0;6.677238513E-1;1.870890392E0
9.333333333E-1;1.058709262E0;1.307646390E-1;1.617607016E0;7.022545428E-1;1.763466444E0
9.666666667E-1;1.111015118E0;1.536888103E-1;1.544959994E0;6.538231950E-1;1.677613231E0
1.000000000E0;1.161706595E0;1.743528520E-1;1.481999242E0;5.714899038E-1;1.588371009E0
1.033333333E0;1.209815068E0;1.917881372E-1;1.409352220E0;5.182154213E-1;1.501606108E0
1.066666667E0;1.255663410E0;2.089005468E-1;1.356077738E0;4.552546691E-1;1.430455747E0
1.100000000E0;1.300220250E0;2.221384485E-1;1.307646390E0;3.971370518E-1;1.366622449E0
1.133333333E0;1.342839836E0;2.353763502E-1;1.254371908E0;3.535488388E-1;1.303244284E0
1.166666667E0;1.383845044E0;2.457083711E-1;1.205940560E0;2.857449519E-1;1.239331599E0
1.200000000E0;1.423235873E0;2.544260137E-1;;;
