Kule
t;x;y;v_{x};v_{y};v
0,000000000E0;-4,038284726E-3;3,923356243E-1;;;
3,333333333E-2;-4,029589638E-3;3,923423874E-1;-7,407934585E-4;-4,369178725E-4;8,600419614E-4
6,666666667E-2;-4,087670956E-3;3,923064964E-1;9,549128096E-2;-4,067131068E-2;1,037918121E-1
1,000000000E-1;2,336495759E-3;3,896309667E-1;2,601669538E-1;-2,119411116E-1;3,355679941E-1
1,333333333E-1;1,325679263E-2;3,781770890E-1;3,761432955E-1;-2,647503689E-1;4,599744955E-1
1,666666667E-1;2,741271546E-2;3,719809421E-1;4,418203568E-1;-1,933509845E-1;4,822756793E-1
2,000000000E-1;4,271148308E-2;3,652870234E-1;5,011650255E-1;-2,185796723E-1;5,467572185E-1
2,333333333E-1;6,082371716E-2;3,574089639E-1;6,021337303E-1;-2,724688813E-1;6,609117342E-1
2,666666667E-1;8,285373177E-2;3,471224313E-1;6,953358190E-1;-3,119633555E-1;7,621109081E-1
3,000000000E-1;1,071794384E-1;3,366114069E-1;7,756217381E-1;-3,520517330E-1;8,517801966E-1
3,333333333E-1;1,345618476E-1;3,236523158E-1;8,610459941E-1;-4,279553959E-1;9,615331636E-1
3,666666667E-1;1,645825047E-1;3,080810472E-1;9,954799751E-1;-4,423645453E-1;1,089342357E0
4,000000000E-1;2,009271793E-1;2,941613461E-1;1,035467853E0;-6,135036532E-1;1,203569860E0
4,333333333E-1;2,336136949E-1;2,671808036E-1;1,077129316E0;-7,972983992E-1;1,340109063E0
4,666666667E-1;2,727358004E-1;2,410081195E-1;1,211250722E0;-8,629750115E-1;1,487230373E0
5,000000000E-1;3,143637431E-1;2,096491362E-1;1,318050717E0;-9,714931261E-1;1,637393229E0
5,333333333E-1;3,606058481E-1;1,762419110E-1;1,451439801E0;-1,009268937E0;1,767852166E0
5,666666667E-1;4,111263964E-1;1,423645404E-1;1,636895064E0;-9,551203652E-1;1,895172911E0
6,000000000E-1;4,697321857E-1;1,125672200E-1;1,837067835E0;-8,083884980E-1;2,007065069E0
6,333333333E-1;5,335975854E-1;8,847197389E-2;1,986836154E0;-5,801189341E-1;2,069796096E0
6,666666667E-1;6,021879293E-1;7,389262443E-2;2,092288865E0;-3,232113702E-1;2,117106111E0
7,000000000E-1;6,730835097E-1;6,692454921E-2;2,132114820E0;-1,215329900E-1;2,135575771E0
7,333333333E-1;7,443289173E-1;6,579042509E-2;2,143031723E0;2,258558788E-2;2,143150735E0
7,666666667E-1;8,159522912E-1;6,843025507E-2;2,121265123E0;1,617065895E-1;2,127419739E0
8,000000000E-1;8,857465922E-1;7,657086440E-2;2,042641189E0;3,697261926E-1;2,075832479E0
8,333333333E-1;9,521283705E-1;9,307866791E-2;1,940255762E0;5,689768621E-1;2,021961200E0
8,666666667E-1;1,015096976E0;1,145026552E-1;1,818340646E0;6,908615546E-1;1,945161277E0
9,000000000E-1;1,073351080E0;1,391361049E-1;1,700018250E0;7,344854125E-1;1,851899260E0
9,333333333E-1;1,128431526E0;1,634683494E-1;1,608610759E0;7,039051735E-1;1,755879001E0
9,666666667E-1;1,180591798E0;1,860631164E-1;1,567096940E0;5,761582093E-1;1,669655983E0
1,000000000E0;1,232904656E0;2,018788967E-1;1,504327957E0;4,779301450E-1;1,578423209E0
1,033333333E0;1,280880328E0;2,179251261E-1;1,433007965E0;4,305914406E-1;1,496302381E0
1,066666667E0;1,328438520E0;2,305849927E-1;1,378750061E0;4,263459769E-1;1,443164101E0
1,100000000E0;1,372796999E0;2,463481912E-1;1,334410773E0;3,347589713E-1;1,375760037E0
1,133333333E0;1,417399238E0;2,529022574E-1;;;
