mass_A
t;x;y;v_{x};v_{y};v
0.000000000E0;-4.000550330E-3;3.926043179E-1;;;
3.336666667E-2;2.571174684E-4;3.917179524E-1;1.687712549E-1;-5.613640294E-2;1.778623968E-1
6.673333333E-2;7.262118078E-3;3.888581486E-1;2.405533983E-1;-1.059379136E-1;2.628474442E-1
1.001000000E-1;1.631004758E-2;3.846483623E-1;3.270289628E-1;-1.512746037E-1;3.603220063E-1
1.334666667E-1;2.908585086E-2;3.787630901E-1;4.302300771E-1;-1.942259770E-1;4.720398811E-1
1.668333333E-1;4.502073472E-2;3.716870155E-1;4.950885929E-1;-2.363939614E-1;5.486299480E-1
2.002000000E-1;6.212476296E-2;3.629877330E-1;9.483604098E-1;-4.786907303E-1;1.062324001E0
2.335666667E-1;1.083079861E-1;3.397423874E-1;1.065953892E0;-5.441179439E-1;1.196796573E0
2.669333333E-1;1.332594194E-1;3.266769289E-1;8.647156750E-1;-3.752013844E-1;9.426077007E-1
3.003000000E-1;1.660133454E-1;3.147039483E-1;9.917077980E-1;-4.638259615E-1;1.094814541E0
3.336666667E-1;1.994393864E-1;2.957242764E-1;1.020862268E0;-6.545741559E-1;1.212694147E0
3.670333333E-1;2.341388874E-1;2.710220330E-1;1.084331646E0;-7.706252651E-1;1.330277572E0
4.004000000E-1;2.718004516E-1;2.442978837E-1;1.202763463E0;-8.504207975E-1;1.473042932E0
4.337666667E-1;3.144033025E-1;2.142706184E-1;1.314070197E0;-9.532803010E-1;1.623429646E0
4.671333333E-1;3.594927361E-1;1.806823116E-1;1.431000659E0;-1.010813972E0;1.752001077E0
5.005000000E-1;4.098987465E-1;1.468156327E-1;1.618791622E0;-9.825899696E-1;1.893665589E0
5.338666667E-1;4.675200970E-1;1.151108077E-1;1.815949765E0;-8.406456119E-1;2.001089352E0
5.672333333E-1;5.310831275E-1;9.071654890E-2;1.984475148E0;-5.679075357E-1;2.064136765E0
6.006000000E-1;5.999507386E-1;7.721244477E-2;2.084560372E0;-3.151672453E-1;2.108251014E0
6.339666667E-1;6.701927896E-1;6.968438807E-2;2.110544955E0;-1.448163547E-1;2.115507453E0
6.673333333E-1;7.407944385E-1;6.754836670E-2;2.119241418E0;-3.059261274E-2;2.119462218E0
7.007000000E-1;8.116168336E-1;6.764284104E-2;2.110762390E0;1.171149612E-1;2.114008936E0
7.340666667E-1;8.816526487E-1;7.536383844E-2;2.054463890E0;3.422567995E-1;2.082777375E0
7.674333333E-1;9.487180572E-1;9.048277813E-2;1.918807472E0;5.981245212E-1;2.009869413E0
8.008000000E-1;1.009701067E0;1.152786815E-1;1.767400752E0;7.406375910E-1;1.916311420E0
8.341666667E-1;1.066662601E0;1.399079934E-1;1.664278411E0;7.344263315E-1;1.819121949E0
8.675333333E-1;1.120763913E0;1.642893987E-1;1.576823579E0;7.051267390E-1;1.727303192E0
9.009000000E-1;1.171889294E0;1.869634511E-1;1.520730164E0;6.174109384E-1;1.641285014E0
9.342666667E-1;1.222247306E0;2.054912886E-1;1.475871003E0;5.180525582E-1;1.564152700E0
9.676333333E-1;1.270379086E0;2.215348251E-1;1.418698298E0;4.654913224E-1;1.493113202E0
1.001000000E0;1.316921773E0;2.365550762E-1;1.352675616E0;4.059460132E-1;1.412275995E0
1.034366667E0;1.360647639E0;2.486249558E-1;1.283475844E0;3.399639271E-1;1.327737065E0
1.067733333E0;1.402572394E0;2.592420023E-1;;;
