Kule_6
t;x;y;v_{x};v_{y};v
0.000000000E0;-5.624962323E-3;3.941065260E-1;;;
3.333333333E-2;-5.040482189E-3;3.944486259E-1;8.013624757E-2;-1.459172567E-2;8.145389268E-2
6.666666667E-2;-2.825458179E-4;3.931337443E-1;1.615306064E-1;-5.493359188E-2;1.706160494E-1
1.000000000E-1;5.728224905E-3;3.907863864E-1;2.180912653E-1;-1.828197649E-1;2.845819152E-1
1.333333333E-1;1.425687187E-2;3.809457600E-1;3.178546294E-1;-2.329593686E-1;3.940832816E-1
1.666666667E-1;2.691853354E-2;3.752557618E-1;4.337003877E-1;-1.493186621E-1;4.586851743E-1
2.000000000E-1;4.317023105E-2;3.709911825E-1;5.230570575E-1;-1.964844555E-1;5.587439724E-1
2.333333333E-1;6.178900404E-2;3.621567981E-1;6.032527453E-1;-2.678595886E-1;6.600474482E-1
2.666666667E-1;8.338708074E-2;3.531338766E-1;6.934980552E-1;-3.115936201E-1;7.602829319E-1
3.000000000E-1;1.080222077E-1;3.413838901E-1;7.817404948E-1;-3.771744587E-1;8.679739475E-1
3.333333333E-1;1.355031137E-1;3.279889127E-1;8.725215398E-1;-4.326805141E-1;9.739128630E-1
3.666666667E-1;1.661903104E-1;3.125385225E-1;9.617768577E-1;-4.740205690E-1;1.072245412E0
4.000000000E-1;1.996215709E-1;2.963875414E-1;1.027514456E0;-6.289611720E-1;1.204731553E0
4.333333333E-1;2.346912741E-1;2.706077777E-1;1.105916916E0;-7.824792387E-1;1.354742036E0
4.666666667E-1;2.733493653E-1;2.442222588E-1;1.204402015E0;-8.587897921E-1;1.479224162E0
5.000000000E-1;3.149847418E-1;2.133551249E-1;1.305782217E0;-9.959220848E-1;1.642232626E0
5.333333333E-1;3.604015131E-1;1.778274532E-1;1.447850510E0;-1.014598213E0;1.767959455E0
5.666666667E-1;4.115081092E-1;1.457152440E-1;1.627038701E0;-9.462233462E-1;1.882177876E0
6.000000000E-1;4.688707599E-1;1.147458967E-1;1.816298434E0;-8.017545442E-1;1.985384182E0
6.333333333E-1;5.325946714E-1;9.226494110E-2;1.984247013E0;-5.726085227E-1;2.065215904E0
6.666666667E-1;6.011538941E-1;7.657199524E-2;2.095548816E0;-3.316615396E-1;2.121632441E0
7.000000000E-1;6.722979258E-1;7.015417179E-2;2.134761355E0;-1.250353396E-1;2.138419949E0
7.333333333E-1;7.434713178E-1;6.823630593E-2;2.135434364E0;8.819658792E-4;2.135434546E0
7.666666667E-1;8.146602168E-1;7.021296952E-2;2.116203987E0;1.639264748E-1;2.122543569E0
8.000000000E-1;8.845515836E-1;7.916473758E-2;2.048519435E0;3.820350391E-1;2.083838440E0
8.333333333E-1;9.512281791E-1;9.568197212E-2;1.936202781E0;5.830575807E-1;2.022087375E0
8.666666667E-1;1.013631769E0;1.180352430E-1;1.789900308E0;7.514036886E-1;1.941223999E0
9.000000000E-1;1.070554866E0;1.457755514E-1;1.667359223E0;7.746178331E-1;1.838510148E0
9.333333333E-1;1.124789051E0;1.696764318E-1;1.591653986E0;7.016025504E-1;1.739427650E0
9.666666667E-1;1.176665132E0;1.925490547E-1;1.544717733E0;6.112407630E-1;1.661254991E0
1.000000000E0;1.227770233E0;2.104258160E-1;1.505587883E0;5.140025249E-1;1.590909636E0
1.033333333E0;1.277037658E0;2.268158897E-1;1.441660819E0;4.530053561E-1;1.511158420E0
1.066666667E0;1.323880954E0;2.406261731E-1;1.394485047E0;3.987727260E-1;1.450382099E0
1.100000000E0;1.370003327E0;2.534007381E-1;1.369794964E0;3.789145986E-1;1.421236967E0
1.133333333E0;1.415200618E0;2.658871463E-1;;;
